title,rating,review,,,,,,,,
Great for cards in the 3060 to 3080 power,4.0 out of 5 stars,It great if you're trying to make a mid-range PC but you could spent a little more and get the i5-12,,,,,,,,
Good price,4.0 out of 5 stars,"I got it very cheap, but I don't know if I made a good choice, with a 3060 of 12 GB, I still have p",,,,,,,,
Slightly damaged box,4.0 out of 5 stars,"The delivery went well, on time, but the cardboard box was slightly damaged",,,,,,,,
Very good 6 core,4.0 out of 5 stars,I love this CPU and its price tag. It can handle the newest games well and works quite well for graphics,,,,,,,,
Excellent but watch out for temperatures if using the stock fan provided.,4.0 out of 5 stars,"This processor, without integrated video card or overclocking capability, is an excellent choice for",,,,,,,,
Intel Cost Benefit,4.0 out of 5 stars,Best value for money from Intel for work,,,,,,,,
Absolutely thrilled Gaming for little money ??,4.0 out of 5 stars,"I am absolutely thrilled with the CPU. For the price, there is nothing to complain about in terms of gaming",,,,,,,,
Cooler,4.0 out of 5 stars,"The CPU works excellently, exactly as it should. Is it possible that the heatsink",,,,,,,,
"Excellent processor, less than excellent cooler.",4.0 out of 5 stars,"Purchased during Prime Day for 150€, this processor has 6 cores and 12 threads that",,,,,,,,
Excellent,4.0 out of 5 stars,Good processor paired with a 3070,,,,,,,,
Quality,4.0 out of 5 stars,it's okay,,,,,,,,
Correct,4.0 out of 5 stars,It is an average processor with expected performance. Delivered sealed and correctly (I put it,,,,,,,,
No integrated graphics card,4.0 out of 5 stars,"Like all models ending with F, this processor does not have a graphics card. Up to you to",,,,,,,,
Very good,4.0 out of 5 stars,"For 2023, this item is still in the mid-high range and will be for a few more years. Very",,,,,,,,
Not bad!,4.0 out of 5 stars,"Not a bad processor, arrived quickly with excellent packaging.",,,,,,,,
Cheap but efficient,4.0 out of 5 stars,The characteristics of this processor are not quite those of the 12th generation core i series,,,,,,,,
Intel Core i5-12400F - 12th generation desktop processor,4.0 out of 5 stars,"Good processor even for gaming, doesn't heat up excessively and has good performance! The cost",,,,,,,,
A simple bubble envelope for packaging.,4.0 out of 5 stars,"Having ordered this CPU second-hand with a 12€ discount on the new price, I received the processor",,,,,,,,
Good value for money,4.0 out of 5 stars,"In terms of heating, it's not bad, and performance is good as well.",,,,,,,,
I5 12400F,4.0 out of 5 stars,I created a new PC with this processor which suits my use well and I bought it,,,,,,,,
Good Processor,4.0 out of 5 stars,Good processor,,,,,,,,
Good performance,5.0 out of 5 stars,I am not a gamer but like to keep reasonably up to date and this intel cpu fits the bill for me. Its,,,,,,,,
This is the PERFECT processor/best value for basic productive work!,5.0 out of 5 stars,This is the PERFECT processor/best value for basic productive work! How many of you just need a fast processor for standard home/office work? Buy this and call it a day.,,,,,,,,
Great CPU,5.0 out of 5 stars,Great CPU. Works great out the box and super quiet cooler.,,,,,,,,
Excellent performance/price ratio,5.0 out of 5 stars,Excellent value for money. Bought this processor to put in a desktop PC. The performance is outstanding.,,,,,,,,
It is what it is,5.0 out of 5 stars,"Great CPU. Ideal for when you have a tight budget, it has good power for basic tasks and games.",,,,,,,,
Good quality price,5.0 out of 5 stars,Impressive little beast. I have an i7-10700K. It beats the 10700k in Single-Core performance (I'm amazed).,,,,,,,,
Good product,5.0 out of 5 stars,Functioning well up to March 2024. Working well up to March 2024.,,,,,,,,
Impressive little beast,5.0 out of 5 stars,"Very good. Came in early, box damaged but luckily CPU was in good condition. Used to update BIOS on H670 board.",,,,,,,,
Still working well until March 2024,5.0 out of 5 stars,Satisfied. Good product to start building a basic computer.,,,,,,,,
Very good,5.0 out of 5 stars,Used to be an i7. Great for simple applications like displaying video on multiple screens or running lightweight programs.,,,,,,,,
Satisfied,5.0 out of 5 stars,Not too expensive. I picked it up for $120 on sale. That's a good price. It works great.,,,,,,,,
"In the past, this would have been an i7",5.0 out of 5 stars,"Great for what it is designed for. It's an i3, so don't expect i9 performance. With that said, I am using it in a custom-built NAS running.",,,,,,,,
Not too expensive,5.0 out of 5 stars,Amazing little CPU. Strong single core. Decent multicore. Perfect for day-to-day use like browsing and MS Office.,,,,,,,,
Great for what it is designed for,5.0 out of 5 stars,"Very good processor for domestic use for durability over time, however, it runs many heavy programs.",,,,,,,,
Excellent,5.0 out of 5 stars,Very good value for money. Purchased in June 2022 and currently it's an excellent value for money (the best in.,,,,,,,,
Profitable,5.0 out of 5 stars,"Good product for starting to build a basic computer. Works well, good condition, original without any issues. Good performance.",,,,,,,,
Great little CPU,5.0 out of 5 stars,Good value. Good for 4K TV at 60HZ UHD 730 built-in graphics. My Son uses it for gaming with RTX 2070 8GB.,,,,,,,,
Very fast processor,5.0 out of 5 stars,Great power on a budget. I've built 3 computers for clients on a budget using this CPU. Its power per dollar is great.,,,,,,,,
Very good quality-price ratio,5.0 out of 5 stars,"It's amazing how far i3s have come! Compared to the i3 of just a few generations ago, it's amazing how far these mid-entry-level CPUs have.",,,,,,,,
Good original product,5.0 out of 5 stars,"Rentable. Good processor. The advantage of entry-level like this is that it consumes less, when it is not used.",,,,,,,,
Broken cooler fan,3.0 out of 5 stars,"What's that noise? Oh, it's a broken cooler fan blade. Intel QA must have missed this one... shame.",,,,,,,,
Do NOT use the stock cooler!,3.0 out of 5 stars,"This is a pretty powerful, modern Intel processor which I bought when replacing my gaming PC.On this",,,,,,,,
Amazing CPU but not the fan....,3.0 out of 5 stars,The CPU is perfect and amazing im not going to lie about that and it works as it was expected and ev,,,,,,,,
"Good processor, bad cooler",3.0 out of 5 stars,I can't understand how such a serious company like Intel can provide a processor with a broken cooler fan blade. Shame.,,,,,,,,
Inadmissible in a simple paper envelope,3.0 out of 5 stars,Very good product quality-price ratio at the moment but I would like to point out that Amazon sends c,,,,,,,,
Inadequate packaging,3.0 out of 5 stars,Seal damaged!,,,,,,,,
Good but not excellent,3.0 out of 5 stars,"I bought thinking about swapping it out later for a 14600k, when it gets cheaper, since Intel allows",,,,,,,,
Very good price-performance ratio,3.0 out of 5 stars,"Second-hand product but defective, pixelation",,,,,,,,
Poor cooler,3.0 out of 5 stars,The heatsink is rotten. My PC overheated just surfing the net to do the install,,,,,,,,
Seal damaged,3.0 out of 5 stars,It arrived with the stock cooler dirty with the thermal paste touched,,,,,,,,
"Good, fulfills its role",3.0 out of 5 stars,"Delivery pepper, thermal paste and poor quality cooler.",,,,,,,,
Processor I5,3.0 out of 5 stars,"Obviously the processor came out months ago and hasn't been used much, it's like new in its box with the cal",,,,,,,,
Overheating,3.0 out of 5 stars,Overall CPU looks to work good still in BIOS but came to realize one of the CPU fan blades broke and,,,,,,,,
I expected more,3.0 out of 5 stars,I didn't ask if it had a fan and then reviewing the post I saw that it is not specified in n,,,,,,,,
"Stock cooler is worthless, and Amazon EU sent me an open box",3.0 out of 5 stars,"Fast and effective processor. Was delivered by DPD who jammed this through the letterbox, crushing th",,,,,,,,
Ineffective fan,3.0 out of 5 stars,"It's a great CPU. The packaging by Amazon, in shipping it, is awful. Nothing like getting a squashed CP",,,,,,,,
Good processor BUT,3.0 out of 5 stars,It's a powerful chip that suits 99% of the population... hard gamers included!The Intel Unlocked 10-,,,,,,,,
Box very damaged,3.0 out of 5 stars,it has more cores which helps in some games but the lack of cache is killing it,,,,,,,,
Poor delivery,3.0 out of 5 stars,UserBenchmark favors Intel for some reason. They would have you believe the 12600k is around 20% bet,,,,,,,,
Very good product but a few issues,3.0 out of 5 stars,I am grading the main heading at the top of the page that does not let the consumer know a cooler is,,,,,,,,
I thought it was new but it wasn't haha,3.0 out of 5 stars,Thanks Amazon/Intel for shipping a faulty CPU then proceed to try to make me wait a week except I co,,,,,,,,
"Purchased processor is defective, struggling",3.0 out of 5 stars,No stock cooler. Extremely annoying.,,,,,,,,
Does not update if you already had a 10th gen i3 or similar,3.0 out of 5 stars,The product arrived in a damaged box and the chip was loose inside the box having been freed from it,,,,,,,,
Fan blade broke,3.0 out of 5 stars,Overall CPU looks to work good still in BIOS but came to realize one of the CPU fan blades broke and,,,,,,,,
Is the CPU used?,3.0 out of 5 stars,I saw the imprint of poorly whipped off thermal paste on my chip and if ur paying new prices for a u,,,,,,,,
Sent something damaged inside the box,3.0 out of 5 stars,"The box was damaged upon delivery, so I returned it as is, sorry, I should have clarified. The box is important!",,,,,,,,
Package damaged,3.0 out of 5 stars,"Although cpu box was sealed, package was dented and fractured. Yet to install the cpu",,,,,,,,
"Nice processor, but delivery is a shame",3.0 out of 5 stars,"Fast and effective processor.Was delivered by DPD who jammed this through the letterbox, crushing th",,,,,,,,
Ventilation,3.0 out of 5 stars,"I didn't ask if it came with a fan and then, upon reviewing the publication, I saw that it is not specified.",,,,,,,,
Faulty CPU-not Intel's fault,3.0 out of 5 stars,Bought the i5 because it was on sale and unfortunately I could not get the system to boot. I made su,,,,,,,,
Powerful chip! (Intel),3.0 out of 5 stars,It's a powerful chip that suits 99% of the population... hard gamers included!The Intel Unlocked 10-,,,,,,,,
Not much better than 5600X in gaming performance despite being newer,3.0 out of 5 stars,it has more cores which helps in some games but the lack of cache is killing it,,,,,,,,
Don't trust UserBenchmark,3.0 out of 5 stars,UserBenchmark favors intel for some reason. They would have you believe the 12600k is around 20% bet,,,,,,,,
Please advertise under the main heading that CPU Cooler is NOT Included!!,3.0 out of 5 stars,I am grading the main heading at the top of the page that does not let the consumer know a cooler is,,,,,,,,
Supposed to be new but...,3.0 out of 5 stars,"Overall, it's great but for something with that much value, I would expect something better than a bag",,,,,,,,
Bad packaging,3.0 out of 5 stars,"Look, this is a great processor. I use it in my build and I love it, but I bought one for my partner",,,,,,,,
Showed up looking ROUGH,3.0 out of 5 stars,The CPU itself was in the plastic holder but had 4 vertical scratch lines as if someone had used it,,,,,,,,
Arrived with scratches on CPU and CPU box that had seen better days,3.0 out of 5 stars,"Did not perform to expectations, basically a relabeled 7th gen. Returning to possibly see what the 1",,,,,,,,
Feels like a retake on the 7th gen processors,3.0 out of 5 stars,"While I did indeed get the advertised product, I did NOT realize that there is no heatsink or fan i",,,,,,,,
Buyer Beware,3.0 out of 5 stars,"I paired with Asus B560 Strix a gaming wifi. You can enable XMP. but, when you sync all cores and se",,,,,,,,
Not worth the money,3.0 out of 5 stars,"Runs WAY too hot. Even though it comes with a less than good stock cooler, I assumed it would be goo",,,,,,,,
Good CPU,3.0 out of 5 stars,All packages are very good! 5 stars! But I received the same item in the package and immediately disc,,,,,,,,
"Things are good, but I'm not happy",3.0 out of 5 stars,"Pair it with Noctua H9i, and the temperature is high even at Idle around 38 degrees. I am using HTPC",,,,,,,,
High temperature.,3.0 out of 5 stars,It only came with the processor without the fan,,,,,,,,
It doesn't come with the CPU Fan,3.0 out of 5 stars,"This is the somewhat less desirable, earlier, non-thermally-enhanced G1 stepping version of the i5-1",,,,,,,,
This is NOT the correct part number.,3.0 out of 5 stars,"I needed a new build at a time when everything was out of stock, so I opted for this i5, which was ava",,,,,,,,
Just okay for light work.,3.0 out of 5 stars,Great for regular use I'd say. But it isn't the best for gaming or editing videos.,,,,,,,,
Good... ðŸ‘,3.0 out of 5 stars,The seal to the box was broken. Not sure if this was used and returned. I will be finishing the buil,,,,,,,,
Opened box?,3.0 out of 5 stars,"Shipped and delivered fast but didn't like how it came packaged, the box came beat up which has me w",,,,,,,,
May 3rd,3.0 out of 5 stars,"The processor works well to this day, however, the packaging arrived damaged and upon opening it",,,,,,,,
Packaging damaged and fan damaged,3.0 out of 5 stars,The box came battered,,,,,,,,
"Improved Graphics, Still Not for Gaming",3.0 out of 5 stars,"The integrated graphics are improved, but it's still not suitable for high-end gaming.",,,,,,,,
"Smooth Basic Use, Struggles with Demands",3.0 out of 5 stars,It performs smoothly in basic applications but struggles with resource-heavy software. The Intel 12th Gen processor is adequate for everyday tasks but may falter when running demanding programs.,,,,,,,,
Security Features with Performance Trade-off,3.0 out of 5 stars,"Enhanced security features are great, but it comes at the cost of performance. The improved security measures are nice, but some users might notice a slight decrease in overall performance.",,,,,,,,
"Efficient Multitasking, Lack of Innovation",3.0 out of 5 stars,"It handles multitasking efficiently, but there's nothing groundbreaking here. The Intel 12th Gen processor manages multitasking well, but it doesn't bring many new features compared to previous generations.",,,,,,,,
Snappy but Heat-Limited Performance,3.0 out of 5 stars,"The performance is snappy, but it's hindered by thermal limitations. Although the processor is responsive, it may throttle under heavy workloads due to heat issues.",,,,,,,,
"Solid Build, Longevity Concerns",3.0 out of 5 stars,"The build quality is solid, but I worry about its longevity.",,,,,,,,
"Improved Connectivity, Persistent Issues",3.0 out of 5 stars,"Connectivity options are improved, but compatibility issues persist. While it offers updated connectivity features, there are still some compatibility problems with certain peripherals.",,,,,,,,
"Efficient Power Management, Limited Control",3.0 out of 5 stars,"Power management is efficient, but it lacks user customization. The processor optimizes power consumption effectively, but those wanting extensive control over power settings might find it lacking.",,,,,,,,
"Good for General Use, Not for Gaming",3.0 out of 5 stars,"Great for general use, but gamers might want to look elsewhere. The integrated graphics are better, but still not enough for high-end gaming.",,,,,,,,
Security vs. Performance,3.0 out of 5 stars,"Security features are a plus, but you might notice a performance dip. It's a trade-off between security and speed with this one.",,,,,,,,
Overheating with Prolonged Use,3.0 out of 5 stars,overheat with prolonged use.,,,,,,,,
"Good Price, Better Alternatives",3.0 out of 5 stars,"Priced well, but there are better options out there.",,,,,,,,
Battery Life Could Be Better,3.0 out of 5 stars, battery life could be better.,,,,,,,,
"Handles Multitasking, Lacks Innovation",3.0 out of 5 stars,"It handles multiple tasks well, but lacks innovative features.",,,,,,,,
not very customizable,3.0 out of 5 stars,not very customizable,,,,,,,,
Bottlenecking CPU,2.0 out of 5 stars,I put the Intel i5 in my MSI gaming motherboard and it doesn't work so I take it out and turns out it,,,,,,,,
Was broken when purchased.,2.0 out of 5 stars,"The processor came with some corners bent, I am assembling it to see if it works. I have had dem",,,,,,,,
The processor came with bent corners,2.0 out of 5 stars,"Not the best i5 version, returned the processor for i7 10 gen",,,,,,,,
Not for gaming,2.0 out of 5 stars,"Used this to edit YouTube videos and it's really slow, I recommend getting an i7.",,,,,,,,
I was unlucky,2.0 out of 5 stars,"It didn't work, but since I had already used it and stained it with thermal paste, I didn't want to return it.",,,,,,,,
Cooler is junk - CPU is OK,2.0 out of 5 stars,"Pro: Package arrived early, packaged new. It was sent with an additional note reminding consumer to ",,,,,,,,
Shipping is bad,2.0 out of 5 stars,"Bad packaing. Came with the poly mailer bag, doesn't look very good.",,,,,,,,
It was not new as advertised.,2.0 out of 5 stars,"The i3 was supposed to be new but the package was clearly opened, also the fan did not come pre appl",,,,,,,,
"There is no graphics board, and the screen is not displayed",2.0 out of 5 stars,"The PC broke and it was urgent for expenses, so I bought it cheaply, but although there are output terminals on the motherboard, considering, a graphics board is necessary, and a graphics board became mandatory. Although there was one at home before, there were output problems, and even after purchasing a new motherboard, it remained the same, and the old motherboard was the cause.",,,,,,,,
Something wrong Something wrong,2.0 out of 5 stars,This motherboard will not work without an external video card. No video onboard.,,,,,,,,        
Delivered broken,1.0 out of 5 stars,"I just don't understand why I'm sent a broken CPU, it's just unnecessary.",,,,,,,,
Arrived damaged?,1.0 out of 5 stars,"When I started up the new motherboard, is it supposed to have a red error LED on the CPU? Is that normal?",,,,,,,,
Does not work,1.0 out of 5 stars,"I put together a gaming PC collecting parts over time as I had funds to purchase. Finally put it all together,",,,,,,,,
Died after a couple of weeks of use,1.0 out of 5 stars,"Does not work. Fresh out the box and along with other brand new PC parts, after putting it together.",,,,,,,,
Does not work at all,1.0 out of 5 stars,Bought in prime days brand new. Processor came dead on arrival. Amazon customer support refused to exchange it.,,,,,,,,
"Dead on arrival, no help from Amazon",1.0 out of 5 stars,"Received used, discolored processor in a previously opened box. Evidence of thermal paste having been applied.",,,,,,,,
Received Used Processor,1.0 out of 5 stars,"Upgraded from i7-6700 to 12700k, the performance is great! Works good with Linux and Windows. That's great!",,,,,,,,
Many issues after 2 months... :\,1.0 out of 5 stars,"The box is broken, the CPU was easy to move in the box, probably already a returned product.",,,,,,,,
Not satisfied,1.0 out of 5 stars,"They send you the KF model which costs less and doesn't have an integrated GPU. If you notice it, they make you an offer.",,,,,,,,
WARNING BAD EXPERIENCE,1.0 out of 5 stars,"I recently purchased an i5 processor from Amazon, and unfortunately, it turned out to be defective.",,,,,,,,
No Title,1.0 out of 5 stars,"I recently purchased an i5 processor from Amazon, and unfortunately, it turned out to be defective. ",,,,,,,,
No Title,1.0 out of 5 stars,"Don't buy, they're selling used and defective products.",,,,,,,,
Used CPU,1.0 out of 5 stars,"Received this today, CPU was pre-used and rattling around in the box in a sandwich bag. Thermal paste was everywhere.",,,,,,,,
Waiting for refund,1.0 out of 5 stars,Still waiting for my refund after a faulty motherboard ruined the CPU and possibly my GPU. Amazon customer support is not helpful.,,,,,,,,
Broken product,1.0 out of 5 stars,"I ordered the CPU, but when it arrived, a fan blade was broken.",,,,,,,,
Broken fans,1.0 out of 5 stars,Came in with broken fans on delivery.,,,,,,,,
Box arrived empty,1.0 out of 5 stars,Disgusting! I bought this for my son for Christmas!! The seal is broken and only part of the appliance is in the box.,,,,,,,,
Arrived without the processor inside,1.0 out of 5 stars,"After one week, the whole box arrived with an internal fan but without a processor. A scandal.",,,,,,,,
CPU that does not work,1.0 out of 5 stars,"I bought this processor new and was waiting to build my PC. Today, I received a message that it was already opened.",,,,,,,,
Processor missing,1.0 out of 5 stars,"Unfortunately, the product packaging was opened and resealed, which seemed suspicious to me. And indeed, the product was used.",,,,,,,,
Arrived without processor,1.0 out of 5 stars,"Beware to those who order second-hand, in my case, I didn't expect a nice box or anything, but at least that the product works.",,,,,,,,
Precise machine arrived in simple paper packaging,1.0 out of 5 stars,"It came from Amazon delivery, in excessive packaging. It wasn't in a box but in a bag. It arrived damaged. Be careful when purchasing precision equipment like PC parts. Always buy with proper packaging.",,,,,,,,
"Check for all the parts, as mine had some missing",1.0 out of 5 stars,"Lovely cooler, looks efficient. It should have a backplate in the box for it. Unfortunately, it shipped without one.",,,,,,,,
Factory seal broken on CPU box [red flag?].,1.0 out of 5 stars,Arrival inspection finds the CPU box factory seal broken. All else seems somewhat normal although the product seems used.,,,,,,,,
Bought new came with thermal paste on the pins on back,1.0 out of 5 stars,"I bought this product new, but it came used. It has thermal paste on the front and on the back of the processor.",,,,,,,,
Do not buy it,1.0 out of 5 stars,"Intel secretly locked VCCSA so your RAM can't work stably if you turn on XMP. They claim it can work, but it doesn't.",,,,,,,,
Bad cooler from intel,1.0 out of 5 stars,"The mounting system is bad, I did the diagonal push method but the last corner won't go in even with extra pressure.",,,,,,,,
It's a USED processor.,1.0 out of 5 stars,"Received the product used, when the ad did not indicate that it was used. I feel disappointed.",,,,,,,,
What the heck?,1.0 out of 5 stars,"Purchased on 7/29. Received on 7/30. I opened the Intel box and it only contained a used stock cooler, not the processor.",,,,,,,,
Broken CPU,1.0 out of 5 stars,"Broken, just found out. Missed the return window by 3 days.",,,,,,,,
Truly disappointing,1.0 out of 5 stars,"The other day, I bought a CPU and had a PC shop build a custom PC for me. However, the CPU was broken and couldn't be used, so I returned it! In the end, I purchased a CPU from a different store and resolved the issue.",,,,,,,,
"Low evaluation for residual value, CPU was delivered",1.0 out of 5 stars,"The one delivered was a 12900KS. I have no complaints about the product, but please pay attention when ordering.",,,,,,,,
Unit was previously opened....,1.0 out of 5 stars,"I've put together a few systems and run some retail 12900k chips so far, and the 12900k is by far an amazing chip.",,,,,,,,
This generation needs a lot of software and driver updates - SLOWER,1.0 out of 5 stars,"Upgraded from an i9-9900k. Using Windows 11, I can absolutely say this system is much slower.",,,,,,,,
No video,1.0 out of 5 stars,"As others mentioned, there was something off with these chips. This was a new build. I have no video - it's dead.",,,,,,,,
SCAM,1.0 out of 5 stars,"I purchased this item then waited about a week for it. When it got here, it was NOT the item I ordered.",,,,,,,,
Overheats,1.0 out of 5 stars,"If you get this processor, it has high-temperature problems. If you look it up online, you will see that it can't handle the heat.",,,,,,,,
Be cautious,1.0 out of 5 stars,"Received the product, everything on the packaging said i9-12900k. But the processor inside the case was different.",,,,,,,,
Needing support!,1.0 out of 5 stars,"I connected my i9 12900k, but the computer detects it as Celeron G6900 with 2 cores... Is this a scam?",,,,,,,,
Did not work with DDR4 faster than 3000mhz,1.0 out of 5 stars,Memory controller was not okay.,,,,,,,,
Zero documentation,1.0 out of 5 stars,"You would expect when you buy the highest quality product from Intel, they would at least tell you how to use it.",,,,,,,,
"Didn't work, returned it to sender and haven't been refunded",1.0 out of 5 stars,"It didn’t work, and I returned it, but I haven’t been reimbursed after several weeks.",,,,,,,,
Box had been previously opened,1.0 out of 5 stars,"For what you spend, I would expect a CPU that hasn’t been opened. Not receiving a returned product.",,,,,,,,
Low power consumption,5.0 out of 5 stars,Best decision for virtualization.,,,,,,,,
Super performant,5.0 out of 5 stars,"Very versatile CPU, I use it for various functions, but it gets hot during gaming.",,,,,,,,
Service is different,1.0 out of 5 stars,The first CPU only worked for about a month. I've been waiting for over 2 months for the warranty.,,,,,,,,
The package was opened,3.0 out of 5 stars,"The processor and fan look new, but the packaging was already opened upon receipt.",,,,,,,,
Exceptional,5.0 out of 5 stars,I received the product earlier than expected and it’s all exceptional! I recommend the purchase.,,,,,,,,
Complaint to Amazon delivery personnel was gathered,3.0 out of 5 stars,"The CPU is in the box, but the memory is just paper-packed. If you damage it, you will be responsible for it! If you designate a place to put it, it will arrive with no problems.",,,,,,,,
"Nice processor, but needs an external cooler",5.0 out of 5 stars,"I have had this CPU for a few weeks now, I am impressed with its performance. However, it definitely",,,,,,,,
CPU I7 12700,5.0 out of 5 stars,"GREAT PROCESSOR, VERY FAST.",,,,,,,,
It's always him,5.0 out of 5 stars,An i7 is always an i7.,,,,,,,,
Intel Core i7-12700,5.0 out of 5 stars,What can you say about a processor? I needed it for a build. Very satisfied. Used for SHIPCONST.,,,,,,,,
Top processor,5.0 out of 5 stars,"I recently purchased this 12th gen processor, and I must say it’s a bomb, both for work and gaming.",,,,,,,,
Very performant CPU,5.0 out of 5 stars,"Very versatile CPU, you can do everything from work to gaming without issues (I recommend replacing the stock cooler).",,,,,,,,
Excellent processor,5.0 out of 5 stars,"Excellent and fast processor, tested and tried, no problems so far.",,,,,,,,
Many cores at a great price,5.0 out of 5 stars,"It performs like a beast, but in certain scenarios, it heats up a lot.",,,,,,,,
Best CPU,5.0 out of 5 stars,Great high-end CPU for those who want something more than just gaming.,,,,,,,,
Excellent processor,5.0 out of 5 stars,"Great processor, no noise. It arrived in excellent packaging with an air cooler.",,,,,,,,
Opened and damaged,3.0 out of 5 stars,"Can I know why the box was opened and damaged? I bought it new, but it looks like someone opened it.",,,,,,,,
"Good processor, excellent price",5.0 out of 5 stars,Gaming PC.,,,,,,,,
Very satisfied,5.0 out of 5 stars,Ottimo,,,,,,,,
Good mid-range CPU,4.0 out of 5 stars,I have had my computer with the i5-12400F for almost 2 years now and it runs great. I use it for light,,,,,,,,
Could be packed better,4.0 out of 5 stars,"It arrived quickly and is working but was very poorly packaged, I was afraid it was damaged.",,,,,,,,
Computer,4.0 out of 5 stars,the product arrived within the described time and I am satisfied,,,,,,,,
Correct,4.0 out of 5 stars,"Received in damaged packaging, but otherwise it works very well",,,,,,,,
Does not work as it should anymore !!!,4.0 out of 5 stars,Same thing as for the motherboard and memory sticks!!!,,,,,,,,
"Not bad considering the expense (€165), lousy cooler",4.0 out of 5 stars,"Certainly not the best i5, but for the price paid 165€ it does its job. Big flaw the heatsink",,,,,,,,
Good purchase,4.0 out of 5 stars,"For my needs, a perfect purchase. Medium or rather more than medium quality processor, of generation",,,,,,,,
Only flaw is the cooler,4.0 out of 5 stars,"The reputation of this processor precedes it, for mid-range PCs it is excellent, as I said the only flaw",,,,,,,,
Good value for money,4.0 out of 5 stars,Switching from an early generation i5 to this one is noticeable,,,,,,,,
Good,4.0 out of 5 stars,well packaged and working,,,,,,,,
Top,4.0 out of 5 stars,Top,,,,,,,,
Good processor,4.0 out of 5 stars,"Very good processor, plan for another cooling system because it heats up a lot. Water",,,,,,,,
Product of excellent quality!,4.0 out of 5 stars,"Quality product, arrived on time, what I didn't like was that it was delivered to third parties and I had",,,,,,,,
Product okay,4.0 out of 5 stars,"Easy installation, product as described.",,,,,,,,
PC,4.0 out of 5 stars,good,,,,,,,,
Huge cooler,4.0 out of 5 stars,"Proc ok. Very large heatsink, fortunately I didn't plan to use my 4 DDR4 slots... A bit",,,,,,,,
The CPU is 10/10 for the money BUT!!,4.0 out of 5 stars,"The CPU is 10/10 for the money. The stock cooler is a problem, getting loud at normal temps 55-70. ",,,,,,,,
High-quality processor but poor quality packaging,4.0 out of 5 stars,"The processor itself is perfect, we know Intel and its 12th generation which is a bargain for",,,,,,,,
Good,4.0 out of 5 stars,"1 day late but everything came right, box slightly damaged with dents and wear but in",,,,,,,,
Best price quality processor,4.0 out of 5 stars,"Great for gaming, but the provided heatsink is lousy with peaks of 85°C",,,,,,,,
Price performance,4.0 out of 5 stars,okay,,,,,,,,
