title,rating,body,,,,,,,,
Beware the poor quality control.,3.0 out of 5 stars,"This is an amazing processor, however I went through two defective, factory new, 13900KFs before I g",,,,,,,,
Good CPU!,3.0 out of 5 stars,Liked everything about this item except for the packaging. The CPU was inside the plastic protector ,,,,,,,,
Too hot.,3.0 out of 5 stars,Even with a strong water cooling,,,,,,,,
Overrated chip. Overpriced.,3.0 out of 5 stars,You have to tune this chip for efficiency. Do not attempt to run this using stock motherboard settin,,,,,,,,
Fast processor.,3.0 out of 5 stars,But it runs very hot and needs a massive cooling system. Even with the system I have I cannot overcl,,,,,,,,
95°C? WHILE UNDERVOLTED!?,3.0 out of 5 stars,"Using the best Noctua air cooler money can buy on this, and yet it'll hit 95°C on Modern Warfare 2?",,,,,,,,
Embarrassing.,3.0 out of 5 stars,"Unless you intend to warm up your entire house and pay a hefty sum for your electricity bills, I dont recommend this processor.",,,,,,,,
Top processor at the moment.,3.0 out of 5 stars,"Very good processor, but unfortunately the one I received was defective, and Amazon no longer has it in stock.",,,,,,,,
"High-performance processor, terrible stock cooler.",3.0 out of 5 stars,"The processor itself is excellent. Responsive and performs well in standard applications (internet, office), but a good cooler is needed because the stock one is noisy and inefficient.",,,,,,,,
No CPU inside,1.0 out of 5 stars,"First of all, I must say that the delivery was really quick. The scheduled date was for the following week.",,,,,,,,
Disappointed with the customer service,1.0 out of 5 stars,"After 3 months, it appeared that my processor is faulty. I discussed the issue with Intel support and they confirmed it.",,,,,,,,
Faulty product,1.0 out of 5 stars,Dont buy from this seller. This company sells faulty products. The courier charge to return the faulty item is outrageous.,,,,,,,,
Packaging for i9 13900k damaged,1.0 out of 5 stars,"My first review ever. Intel has finally acknowledged this issue, search ""Regarding Reports of 13th/14th Gen Intel Processors"".",,,,,,,,
Will be dead on arrival or degrade over months,1.0 out of 5 stars,"I didnt open the processor box until I had all the pieces to build the computer, and I was disappointed to find it used.",,,,,,,,
It didn't arrive; it was inside the product box,1.0 out of 5 stars,"i9 13900k tested on Asus Strix Z790-E Gaming + Windows 11 Pro, and all drivers and firmware upgraded to the latest versions.",,,,,,,,
Very disappointed with this product,1.0 out of 5 stars,"It worked fine for 6 months, then I started running into Error Code 0xC0000005 with various applications.",,,,,,,,
Worst warranty support I have ever dealt with or it doesn't support Windows 10 or 11,1.0 out of 5 stars,"I saved up for years to upgrade my PC, which I built from scratch to use for streaming. After a couple of months, it started having issues.",,,,,,,,
Lots of gaming instability,1.0 out of 5 stars,This i9 chip is very likely guilty of destroying 2 ASUS ROG Maximus Hero Z790 motherboards. The first one fried within a week.,,,,,,,,
Do you feel lucky?,1.0 out of 5 stars,"Ive switched out PSUs, motherboards, SSDs. Ive even sent my 4080 on an RMA process with Gigabyte trying to troubleshoot this CPU.",,,,,,,,
"Perpetual heating issues, BSODs, games crashing",1.0 out of 5 stars,I still have this CPU because I spent a bunch of money on it. It overheats and overclocks itself. Not worth it.,,,,,,,,
So many problems,1.0 out of 5 stars,I purchased this CPU bundled with the ASUS TUF Gaming Z790-Plus WiFi motherboard. That started causing issues from the get-go.,,,,,,,,
Production problems!,1.0 out of 5 stars,I could not get a signal to my monitor from my new computer build. Finally took the entire computer to a professional.,,,,,,,,
"Worked great for 4 months, then...",1.0 out of 5 stars,Worked fine for 4 months then it started crashing and freezing. It destroyed the OS kernel and the O,,,,,,,,
Received an open box with a dead CPU,1.0 out of 5 stars,The box was open and tried the cpu not booting and no display,,,,,,,,
Dead On Arrival (DOA) and still no refund,1.0 out of 5 stars,Processor was fulfilled by Amazon and was dead on arrival. Tried it on another known good motherboar,,,,,,,,
Disappointed,1.0 out of 5 stars,The Intel 13th gen CPUs have been a big disappointment. I originally had a faulty 13900KS which inte,,,,,,,,
Had to RMA CPU because of constant game crashes,1.0 out of 5 stars,I am currently in the process of replacing this cpu since mine is defective. Read the threads and do,,,,,,,,
Bad CPU,1.0 out of 5 stars,CPU caused blue screen issues non-stop,,,,,,,,CP+A16:J21U caused blue screen issues non-stop
Shipped 3 dead CPUs by Amazon,1.0 out of 5 stars,"I've just about had it.It takes about an hour and a half to uninstall old components, install new on",,,,,,,,
Dead On Arrival (DOA)!,1.0 out of 5 stars,"What I dislike? You would think that you will not get a bad CPU from a reputable company, makes it m",,,,,,,,
Disappointed,1.0 out of 5 stars,arrive dead on arrival. worked with intel for a while to troubleshoot post issues but no luck. turns,,,,,,,,
"I've used Intel forever, and this was the worst",1.0 out of 5 stars,Not sure if Quality Control is out the door for intel but the speeds on my chip were atrocious. It r,,,,,,,,
Received wrong and used CPU,1.0 out of 5 stars,"The CPU I received was not even LGA1700 and it was clearly used, I could see clearly remaining therm",,,,,,,,
"Do not purchase anything from this company, they sold me a defective CPU for $600",1.0 out of 5 stars,"Non functional CPU , scammer company",,,,,,,,
"Sent opened processor. Was defective. Returned, no refund as of yet",1.0 out of 5 stars,Sent opened processor. Was defective and returned and shows received on May 17th and still no refund,,,,,,,,
Totally a scam,1.0 out of 5 stars,totally a scam,,,,,,,,
There is instability,1.0 out of 5 stars,default frequency cannot pass r15,,,,,,,,
Item arrived dead on arrival,1.0 out of 5 stars,Dead on arrival.,,,,,,,,
Completely unusable,1.0 out of 5 stars,"As soon as I assembled it, it overheated and became a bluescreen nightmare. To address the issue, I replaced the water cooler, graphics card, and power supply, but nothing improved. I replaced it with the i5 1360KF I bought at the same time, and it turned out the CPU was the cause.",,,,,,,,
Terrible quality control and they solve nothing,1.0 out of 5 stars,"The product arrived defective. It doesn't work, installed it on the board and it doesn't give video, it arrived dead, it seems to me.",,,,,,,,
Sent a used product,1.0 out of 5 stars,Sent a used CPU box said âthanks to you this product has a new lifeâNo where does it say this is use,,,,,,,,
Check before installing,1.0 out of 5 stars,"I received this CPU in the Intel box, but the plastic holder was loose inside the box.I thought it j",,,,,,,,
GARBAGE!,1.0 out of 5 stars,STILL FIGHTING FOR OUT REFUND! ITEM WAS NOT IN BOX WHEN SHIPPED!!,,,,,,,,
Failed after one year of use,1.0 out of 5 stars,"One year later, this CPU has completely failed. Not an issue with any other of my components, everyt",,,,,,,,
The processor doesn't work,1.0 out of 5 stars,The return window closed and the processor stopped working. Negotiations with the manufacturer have ,,,,,,,,
DEFECTIVE!!!,1.0 out of 5 stars,came in with the sticker void peeled but when i opened the box it looked new so i installed it. Moth,,,,,,,,
Open box,1.0 out of 5 stars,Received in an unsealed box and already used.,,,,,,,,
1 star for everything I got the package got the CPU box but the seal was broken and no CPU,1.0 out of 5 stars,i was waiting to install the cpu well i got the cpu box the seal was broken and no cpu was in the bo,,,,,,,,
CPU received appears to have been used,1.0 out of 5 stars,Received relatively quick. The issue was there was a stain on the CPU die which I can only assume is,,,,,,,,
The CPU did not work,1.0 out of 5 stars,Hired someone to help me and the CPU did not work at all. Kept trying but it would not work. Returni,,,,,,,,
Dead on arrival.,1.0 out of 5 stars,I didnt even get a chance to use the product.,,,,,,,,
"Beware. Used, refurbished item",1.0 out of 5 stars,Description does not say used / renewed item.,,,,,,,,
Box was already opened,1.0 out of 5 stars,First impression was terrible. Box came with the CPU loose not attached and secured. Intel seal was ,,,,,,,,
No working,1.0 out of 5 stars,No working,,,,,,,,
Beware,1.0 out of 5 stars,broken on arival,,,,,,,,
Check to make sure your board is compatible!,1.0 out of 5 stars,"This is my experience, I doubt that this is actually a problem with the processor itself, and more c",,,,,,,,
Lasted 4 months,1.0 out of 5 stars,This CPU quit after four months. I cannot get in touch with Amazon customer support nor can I connec,,,,,,,,
Arrived DOA,1.0 out of 5 stars,This CPU arrived DOA . For all the years I have been building PC's Gaming Rigs and Workstations I ha,,,,,,,,
Faulty product,2.0 out of 5 stars,"It's not Amazon's issue, but the processor I bought is faulty. I'm experiencing crashes while playing.",,,,,,,,
Heat issues with this 13900k,2.0 out of 5 stars,"Took me forever to figure this out, but I can't reach rated speeds on my 13900K due to throttling. SP",,,,,,,,
Nothing But Issues,2.0 out of 5 stars,"I've had nothing but issues with this processor. It's a personal heater, causes tons of crashes, and.",,,,,,,,
Overpriced,2.0 out of 5 stars,Performance leaves much to be desired at this price point. Fastest gaming CPU on the planet when I bought it.,,,,,,,,
Do not get this chip unless you are a data Scientist or something,2.0 out of 5 stars,"This chip has cooling issues in gaming. Full stop. Really, you should be looking at AMD X3D chips if.",,,,,,,,
Overpriced,2.0 out of 5 stars,Overpriced.,,,,,,,,
Great Quality!,5.0 out of 5 stars,"I upgraded from an i7-7700k to this and it's amazing, perfect for gaming and stays cool. I have no is.",,,,,,,,
Underrated price to performance,5.0 out of 5 stars,Congratulations on this product. It was an excellent investment. Recommended.,,,,,,,,
Works great,5.0 out of 5 stars,All I can say is that I'm very happy with my purchase!,,,,,,,,
Good price/performance.,5.0 out of 5 stars,"This CPU is in the perfect spot. It's not like the 13400f that doesn't include an iGPU, but it's not.",,,,,,,,
Quality price,5.0 out of 5 stars,This is part of a system rebuild I did. It makes a very noticeable improvement in speed and capacity.,,,,,,,,
Good,5.0 out of 5 stars,"Couldn't recommend more for gaming, plenty of headroom on the titles I enjoy. 10 cores in total bei.",,,,,,,,
"Great Performance, Low Consumption",5.0 out of 5 stars,Performs as expected both for gaming and work.,,,,,,,,
10 CORES FOR HOW MUCH?!?,5.0 out of 5 stars,My son needed this to build his PC gaming system. Perfect.,,,,,,,,
Efficient Little Powerhouse,5.0 out of 5 stars,"I replaced my old i7-3770k with this processor, I must say the change is brutal, where before.",,,,,,,,
Great processor,5.0 out of 5 stars,Device name xxxxProcessor 13th Gen Intel(R) Core(TM) i5-13400F 2.50 GHzInstalled RAM 32.0 GB (31.8 G.,,,,,,,,
Excellent Processor,5.0 out of 5 stars,"Does everything I need it to do and then some, all while drawing less than 100 watts.",,,,,,,,
INTEL I5 13400F,5.0 out of 5 stars,I'm suuuuuper new to building PC's so it was my first time ever doing this.Very easy to figure how it.,,,,,,,,
Better than expected,5.0 out of 5 stars,Excellent Processor fully recommended it worked perfect for my low-range build.,,,,,,,,
Excellent,5.0 out of 5 stars,"I assembled everything well and it works optimally, thank you.",,,,,,,,
Excellent CPU,5.0 out of 5 stars,It works better than expected even though I don't have a graphics card yet the integrated one works very.,,,,,,,,
It is doing what it is supposed to do,5.0 out of 5 stars,"Good protection and care of the item, I recommend it.",,,,,,,,
This is a good mid-range CPU,5.0 out of 5 stars,No issues with the speed but the stock cooler is no good in some more new games but other than that.,,,,,,,,
Core i5,5.0 out of 5 stars,I bought it for its ability to transcode video files and it is working great.,,,,,,,,
Probably more than you need,5.0 out of 5 stars,"For the price, this is an amazing mid to high range CPU. I've had this for a few weeks now and it wor.",,,,,,,,
The chip to buy for ITX builds.,5.0 out of 5 stars,I like it,,,,,,,,
It's a processor,5.0 out of 5 stars,"This really handles gaming well, look up bottle neck calculator onlineâ¦. Match it with some GPUs you.",,,,,,,,
Ranting,5.0 out of 5 stars,This is the ideal choice for tight quarter ITX builds. It is easily cooled. Iâm running it in the Fr.,,,,,,,,
Peppy,5.0 out of 5 stars,It shipped timely. Works as it should,,,,,,,,
Satisfied,5.0 out of 5 stars,"It's my first purchase, but compared to others, it was packaged very well, and it arrived sooner than expected.",,,,,,,,
Works great,5.0 out of 5 stars,"used item in very good shape, with very easy install and very good performance at a good price. winn.",,,,,,,,
The inside is Alder Lake,5.0 out of 5 stars,"Very satisfied with how fast it is, I am surprised by its ability to open applications and process data.",,,,,,,,
Excellent,5.0 out of 5 stars,"Running smoothly, I have used it with 1080ti, playing high configuration requirements PC games for se.",,,,,,,,
"Good price, very good performance",5.0 out of 5 stars,"Considering the specs and heat generation, I thought I should buy it for personal use, and I bought it sooner than I expected. In the 13th generation, there are 12th generation, and even 8 cores in the E core, so it's quite affordable.",,,,,,,,
Best price / performance CPU for gaming,5.0 out of 5 stars,"Excellent for games, good temperatures but the stock cooler is a bit noisy...",,,,,,,,
"Works perfectly and great gaming performance, but stock cooler is useless.",5.0 out of 5 stars,"I have been using this processor for several months and the performance is very good, it is quite powerful",,,,,,,,
Awesome processor,5.0 out of 5 stars,perfect for 2K gaming. Never used the integrated graphics on a CPU before and you save some with thi.,,,,,,,,
Great price/performance.,5.0 out of 5 stars,"This chip performs perfectly and is a great value for the performance, but plan on getting an afterm.",,,,,,,,
High performance at a reasonable price!,5.0 out of 5 stars,This processor is awesome im very glad I bought it can chug through anything you throw at it very we.,,,,,,,,
Excellent quality price,5.0 out of 5 stars,"Super great price, runs super cold. Worth it",,,,,,,,
"Used Intel i3-12100 for a PC build, works great, good performance",5.0 out of 5 stars,"Upgraded from an i7-9700KF to this, switched from Z390 to H670 M/B. According to Cinebench23 scores, power restrictions lifted, the score is more than doubled and satisfying.",,,,,,,,
Hardware Transcoding Support,5.0 out of 5 stars,"Excellent CPU, very powerful for its price, arrived in excellent condition although it took longer than the rest t.",,,,,,,,
Amazing buy for the money,5.0 out of 5 stars,The 13th gen CPUs are cloudier than the 12thCOREi3.,,,,,,,,
"Chip is good and works well, as expected.",5.0 out of 5 stars,Using it for a Plex server and it's better than my 1080ti card!,,,,,,,,
Works well,5.0 out of 5 stars,"The performance is insane compared to upgrading from a 10400, and for the money, itâs just a 10600k but just n.",,,,,,,,
WORKS GREAT,5.0 out of 5 stars,Using it as a camera server running Blue Iris.,,,,,,,,
Super CPU!,5.0 out of 5 stars,huge upgrade from i7 4770. the stock fan is decent enough to do the job I just use it for gaming ext.,,,,,,,,
Works,5.0 out of 5 stars,WORKS GREAT,,,,,,,,
Suppress heat and cost for the balance type,5.0 out of 5 stars,Thank you Amazon for this beast! Everything is fine <3 Nice update from i7-2670QM lol ;)),,,,,,,,
Great price for the performance.,5.0 out of 5 stars,works,,,,,,,,
Normalization?,5.0 out of 5 stars,"This product is equipped with the F model, so the graphics performance is good. It's also designed to dissipate heat well. With the cooler (which is good enough) that comes with it, it stays quite cool. Considering the performance, this price is quite.",,,,,,,,
PC operations are sensitive,5.0 out of 5 stars,Nice budget gaming CPU.,,,,,,,,
Mandatory preparation for gravy.,5.0 out of 5 stars,"Even after switching from the 12thCOREi3, the processing speed is significantly faster and the operation of the PC is smoother. With this performance, the price of this product is quite. This time, we are considering heat dissipation, and the pure performance is satisfact.",,,,,,,,
The operation of the PC is sensitive,5.0 out of 5 stars,"If you are using it for gaming, it works without any problems.",,,,,,,,
It is necessary to prepare the gravel in advance.,5.0 out of 5 stars,"If you use it for gaming purposes, you'll be satisfied with its performance and price.",,,,,,,,
Expensive but excellent for productivity and gaming.,4.0 out of 5 stars,"For many, an i5 might be sufficient, but if you do some video rendering or photo processing, it's worth it.",,,,,,,,
Seems great.,4.0 out of 5 stars,"I've been using this CPU for a while, not bad. Great, but it heats up a lot. On average, it stays at 35/40°C.",,,,,,,,
The product is not new.,4.0 out of 5 stars,"I bought the i13700K as new; however, the product box came like this. The product doesn't seem new.",,,,,,,,
Phenomenal.,4.0 out of 5 stars,Spectacular!,,,,,,,,
Great performance!!! But...,4.0 out of 5 stars,I bought it as a replacement from the old i7-7700K. The performance is significantly improved! Great choice!,,,,,,,,
Recommended for content creation.,4.0 out of 5 stars,Really love this processor; it's really fast using Adobe apps. Recommended for content creation.,,,,,,,,
"Great CPU, but hard to cool.",4.0 out of 5 stars,"After too many years of gaming on an old i7-6700K, I finally decided to upgrade.",,,,,,,,
Worthy upgrade for 2023.,4.0 out of 5 stars,"I had a Ryzen 7 3800XT CPU for a while, so I decided to upgrade to Intel for this.",,,,,,,,
Second purchase of Intel Core i7-13700K.,4.0 out of 5 stars,The second purchase of the product met its specifications.,,,,,,,,
Main title needs more info.,4.0 out of 5 stars,"I'm sure the chip works beautifully, but I had no idea the K series didn't come with a cooler, which I needed.",,,,,,,,
FAST.,4.0 out of 5 stars,"Fast CPU, did not come with a CPU cooler. Make sure you get a good CPU cooler if you play games!!!",,,,,,,,
Screaming fast processor that runs really hot.,4.0 out of 5 stars,"I got this for a new system build, even though it's a little higher than I like to spend. But it has performed well.",,,,,,,,
"Product is great, but the delivery was a letdown.",4.0 out of 5 stars,"The product is great, but the delivery was a letdown.",,,,,,,,
Best CPU for gaming with this value.,4.0 out of 5 stars,If you are looking to get the best gaming experience with a decent price and not get poor performance.,,,,,,,,
